Sentence,SentenceKey,YesRate,ConsensusScore,GoldLabel,Sentence_text,Metaphor,Derived metaphor,Category,subcategory,sentence,Source
Hypertension dangers lurking in obese kids,hypertension dangers lurking in obese kids,1.0,1.0,yes,Hypertension dangers lurking in obese kids,DIABETES IS AN ACTOR,,Development of disease,,Hypertension dangers lurking in obese kids,Content Analysis of Metaphors About Hypertension and Diabetes on Twitter: Exploratory Mixed-Methods Study
Control your high blood pressure,control your high blood pressure,0.5,0.0,Tie,Control your high blood pressure,DIABETES IS MECHANICAL,,Experience of disease,,Control your high blood pressure,Content Analysis of Metaphors About Hypertension and Diabetes on Twitter: Exploratory Mixed-Methods Study
a relationship between reactive oxygen species and the inhibition of intercellular communication by promoting agents has been described,a relationship between reactive oxygen species and the inhibition of intercellular communication by promoting agents has been described,0.0,1.0,no,a relationship between reactive oxygen species and the inhibition of intercellular communication by promoting agents has been described,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,"Communication, signals and messengers",a relationship between reactive oxygen species and the inhibition of intercellular communication by promoting agents has been described,Metaphors in medical texts
Tumor cells must penetrate,tumor cells must penetrate,1.0,1.0,yes,Tumor cells must penetrate,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,Colonization and invasion,Tumor cells must penetrate,Metaphors in medical texts
"For me, faith became that tool.","for me, faith became that tool.",1.0,1.0,yes,"For me, faith became that tool.",CANCER_IS_A_BLESSING,,,,"For me, faith became that tool.","THE USE OF CONCEPTUAL METAPHOR IN CANCER  PATIENT STORIES ON A CANCER CENTER WEBSITE Iska Agnesya Fereralda 1 * Shanty A.Y.P.S Duwila, S . S., M.Pd 2 Yulis Setyowati, S.Pd., M.Pd.B.I"
"It was a very spiritual experience to connect with others, and it helped renew my faith.","it was a very spiritual experience to connect with others, and it helped renew my faith.",0.5,0.0,Tie,"It was a very spiritual experience to connect with others, and it helped renew my faith.",CANCER_IS_A_BLESSING,,,,"It was a very spiritual experience to connect with others, and it helped renew my faith. ","THE USE OF CONCEPTUAL METAPHOR IN CANCER  PATIENT STORIES ON A CANCER CENTER WEBSITE Iska Agnesya Fereralda 1 * Shanty A.Y.P.S Duwila, S . S., M.Pd 2 Yulis Setyowati, S.Pd., M.Pd.B.I"
DNA damage and repair,dna damage and repair,1.0,1.0,yes,DNA damage and repair,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,DNA damage and repair,Metaphors in medical texts
There thus must be sequential signals for initiations of groups of replicons. What these signals are and whether they are altered in any way in neoplastic cells is unknown.,there thus must be sequential signals for initiations of groups of replicons. what these signals are and whether they are altered in any way in neoplastic cells is unknown.,3.333.333.333.333.330,33.333.333.333.333.300,no,There thus must be sequential signals for initiations of groups of replicons. What these signals are and whether they are altered in any way in neoplastic cells is unknown.,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,"Communication, signals and messengers",There thus must be sequential signals for initiations of groups of replicons. What these signals are and whether they are altered in any way in neoplastic cells is unknown.,Metaphors in medical texts
The flow of information in eukaryotic cells is from DNA into RNA in a process called transcription;RNA is then used as a blueprint for protein in a process called translation.RNA polymerase is the enzyme that transcribes genes into RNA.,the flow of information in eukaryotic cells is from dna into rna in a process called transcription;rna is then used as a blueprint for protein in a process called translation.rna polymerase is the enzyme that transcribes genes into rna.,1.0,1.0,yes,The flow of information in eukaryotic cells is from DNA into RNA in a process called transcription;RNA is then used as a blueprint for protein in a process called translation.RNA polymerase is the enzyme that transcribes genes into RNA.,A_GENOME_IS_A_TEXT,,,Text,The flow of information in eukaryotic cells is from DNA into RNA in a process called transcription;RNA is then used as a blueprint for protein in a process called translation.RNA polymerase is the enzyme that transcribes genes into RNA.,Metaphors in medical texts
carcinogenesis usually is considered multistage,carcinogenesis usually is considered multistage,3.333.333.333.333.330,33.333.333.333.333.300,no,carcinogenesis usually is considered multistage,CARCINOGENESIS/METASTASIS_CONSIST_OF_SEVERAL_STEPS,,,Steps and stages,carcinogenesis usually is considered multistage,Metaphors in medical texts
MY MOTHER fought cancer for almost a decade and died at 56.,my mother fought cancer for almost a decade and died at 56.,1.15,0.5,yes,MY MOTHER fought cancer for almost a decade and died at 56.,CANCER IS A BATTLE,,,,MY MOTHER fought cancer for almost a decade and died at 56.,"Angelina Jolie – New York Times op-ed, in 146 Dead metaphors and responsibilised bodies-in-transition: the implications of medical metaphors for understanding the consumption of preventative healthcare"
This allows the tumor to penetrate into and impinge directly on bone substance,this allows the tumor to penetrate into and impinge directly on bone substance,1.0,1.0,yes,This allows the tumor to penetrate into and impinge directly on bone substance,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,Colonization and invasion,This allows the tumor to penetrate into and impinge directly on bone substance,Metaphors in medical texts
"Toddlers have almost no control of what they feel and how they react. Sometimes, I notice myself reacting and in my head, I know it's irrational or due to an anxiety symptom, but I literally don't know how else to cope besides lashing out.","toddlers have almost no control of what they feel and how they react. sometimes, i notice myself reacting and in my head, i know it's irrational or due to an anxiety symptom, but i literally don't know how else to cope besides lashing out.",1.0,1.0,yes,"Toddlers have almost no control of what they feel and how they react. Sometimes, I notice myself reacting and in my head, I know it's irrational or due to an anxiety symptom, but I literally don't know how else to cope besides lashing out.",MENTAL_ILLNESS_IS_BEING_A_TODDLER,,,,"Toddlers have almost no control of what they feel and how they react. Sometimes, I notice myself reacting and in my head, I know it's irrational or due to an anxiety symptom, but I literally don't know how else to cope besides lashing out.",Metamia
"If chemotherapy does not wipe all of them out, they can slowly begin to produce new cancer cells years later.","if chemotherapy does not wipe all of them out, they can slowly begin to produce new cancer cells years later.",1.0,1.0,yes,"If chemotherapy does not wipe all of them out, they can slowly begin to produce new cancer cells years later.",CANCER_IS_DIRT,,,,"If chemotherapy does not wipe all of them out, they can slowly begin to produce new cancer cells years later.","The Guardian, analyzed by Camus, Variation of cancer metaphors in scientific texts and press popularisations"
cells that immigrate from unirradiated adjacent areas,cells that immigrate from unirradiated adjacent areas,0.5,0.0,Tie,cells that immigrate from unirradiated adjacent areas,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,Colonization and invasion,cells that immigrate from unirradiated adjacent areas,Metaphors in medical texts
The idea of that therapy really struck me as something I wanted.,the idea of that therapy really struck me as something i wanted.,1.0,1.0,yes,The idea of that therapy really struck me as something I wanted.,EMOTIONAL EFFECT IS PHYSICAL CONTACT,,,,The idea of that therapy really struck me as something I wanted.," Raymond W. Gibbs Jr. & Heather Franks (2002) Embodied Metaphor In Women's Narratives About Their Experiences With Cancer, Health Communication, 14:2, 139-165, DOI: 10.1207/S15327027HC1402_5"
I was knocked over by the news.,i was knocked over by the news.,1.0,1.0,yes,I was knocked over by the news.,EMOTIONS ARE NATURAL FORCES,,,,I was knocked over by the news.," Raymond W. Gibbs Jr. & Heather Franks (2002) Embodied Metaphor In Women's Narratives About Their Experiences With Cancer, Health Communication, 14:2, 139-165, DOI: 10.1207/S15327027HC1402_32"
"If jammed, cancer cells are able to display..., they destroy ...","if jammed, cancer cells are able to display..., they destroy ...",6.666.666.666.666.660,33.333.333.333.333.300,yes,"If jammed, cancer cells are able to display..., they destroy ...",(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,"Transport, travelling, and traffic","If jammed, cancer cells are able to display..., they destroy ...",Metaphors in medical texts
responses to individual tumors to drugs differ...,responses to individual tumors to drugs differ...,0.25,0.5,no,responses to individual tumors to drugs differ...,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,responses to individual tumors to drugs differ...,Metaphors in medical texts
That’s a nice cart full of diabetes you’ve got there,that's a nice cart full of diabetes you've got there,1.0,1.0,yes,That’s a nice cart full of diabetes you’ve got there,DIABETES IS AN OBJECT,,Development of disease,,That’s a nice cart full of diabetes you’ve got there,Content Analysis of Metaphors About Hypertension and Diabetes on Twitter: Exploratory Mixed-Methods Study
cycle-specific antineoplastic drugs,cycle-specific antineoplastic drugs,0.5,0.0,Tie,cycle-specific antineoplastic drugs,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,cycle-specific antineoplastic drugs,Metaphors in medical texts
"specific sanctuary sites, such as the central nervous system","specific sanctuary sites, such as the central nervous system",0.5,0.0,Tie,"specific sanctuary sites, such as the central nervous system",ISOLATED_METAPHORS,,,Isolated metaphors,"specific sanctuary sites, such as the central nervous system",Metaphors in medical texts
A three-step hypothesis has been promosed to describe the sequence of biochemical events during tumor cell invasion of the extracellular matrix.,a three-step hypothesis has been promosed to describe the sequence of biochemical events during tumor cell invasion of the extracellular matrix.,1.0,1.0,yes,A three-step hypothesis has been promosed to describe the sequence of biochemical events during tumor cell invasion of the extracellular matrix.,CARCINOGENESIS/METASTASIS_CONSIST_OF_SEVERAL_STEPS,,,Steps and stages,A three-step hypothesis has been promosed to describe the sequence of biochemical events during tumor cell invasion of the extracellular matrix.,Metaphors in medical texts
